Original Sentence,Processed Sentence
"a couple sitting at a reception table , the man is laughing as he motions back and the woman is laughing motioning forward .","A couple sitting, laughing at the man's motion back, and the woman's motion forward."
a group of well dressed people sitting around a table with champagne glasses laughing .,A group of well-dressed people sat with a glass of champagne laughed.
a newly married couple laughs during their reception .,skip_because_no_change
a group of formally dressed people are laughing .,skip_because_no_change
a wedding party laughs during the reception .,skip_because_no_change
"a smiling woman raises her right arm while her partner , his back up against hers , raises his left arm .",skip_because_no_change
a bride and groom are dancing with each other with their backs turned to one another .,skip_because_no_change
a smartly dressed couple raise their hands .,skip_because_no_change
a woman and man dance on their wedding day .,skip_because_no_change
a couple is back to back in formal attire .,skip_because_no_change
a man wearing all black is climbing on a black train engine with trees in the distance .,A man in all his black climbed the train engine with a tree.
a man in black clothes standing on what appears to be a black locomotive .,A man in black clothes stood.
a man standing on a locomotive working on it .,A standing man who works for himself.
a man is working on the coal car of a train .,skip_because_no_change
man fixing a train as it stops .,skip_because_no_change
a man in tan pants is eating while sitting next to a plate and a pair of shoes .,The man in tan pants ate while sitting.
young man sitting on a blanket in the grass and eating a ribs .,A young man sitting on his ribs.
skinny man with no shoes on eating barbecue ribs outside .,A skinny man without shoes eating barbecue ribs.
a man is eating barbecue ribs outside next to a grill .,The man ate barbecue ribs.
a boy eating something outside .,The boy ate something.
a couple are walking along a street while the man carries a toddler over one shoulder .,The couple walked as the man carried the toddler over one shoulder.
the man walking next to the woman up the steps has a sleeping child on his shoulder .,The man who walked up the steps had a sleeping child.
a couple is walking away while an infant sleeps on the father 's shoulders .,The couple walked while the infant slept.
a man holding a sleeping child walks with a woman .,skip_because_no_change
a man carries a child while he walks with a woman .,skip_because_no_change
a man walking on a rocky shore with a tan dog jumping next to him,A man walking with a tan dog that jumped.
a dog jumps in the air next to a man on the beach .,The dog jumped into the air.
a dog and a man wade into the lake .,Dogs and men waded in.
a dog jumps to his owner .,skip_because_no_change
a man and a dog .,skip_because_no_change
three people stand on a basketball court as a ball flies through the air .,Three stood as the ball flew through the air.
a group of boys play basketball outside of a brown building .,The group of boys played basketball.
three teens watching a basketball in the air .,Three teens watched basketball.
three teen boys playing basketball outside,Three teen teen boys played basketball.
"people playing , basketball ball in air",People playing basketball balls.
three children pull on a length of rope while adults and other children look on in the background .,Three children pulled a long rope as the adults and other children looked on.
some children play tug-of-war in a grassy area while adults look on from a distance .,Some children play tug-of-war while adults look on in a distant look.
a boy and two girls on one side of a tug-of-war .,The boy and the girl were two.
three young children play tug-of-war .,skip_because_no_change
children are pulling on a rope .,skip_because_no_change
"a woman wearing glasses and a black shirt is bending over , while others walk by .",Women in glasses and black shirt bending over as others walked.
people walk through what looks like a dry and ravaged field .,People walking.
several people stand on dirt while carrying bags .,Several people stood as they carried bags.
a group of people cleaning up an area .,skip_because_no_change
a woman picking up debris on a beach .,a woman picking up debris
the arm of a swimmer rises from the water inside the striped lane marker .,The swimmers' arms rose into the water.
